#,Database,gbifID,PBDB collection #,occurrenceID,genus,specificEpithet,verbatimScientificName,Notes,preparations,occurrenceRemarks,institutionCode,collectionCode,catalogNumber,locationID,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,continent,countryCode,stateProvince,county,locality,verbatimLocality,formation,Max age (years),Min age (years),Average age (years),Method,Citation for age,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,Citation
467,Neotoma,4836,3777,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.866667,-110.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Taliaferro Site [48LN1468],N/A,N/A,2850,960,1905,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
468,Neotoma,4839,3780,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.366667,-110.116667,N/A,N/A,NORTH_AMERICA,US,Wyoming,N/A,48UT194,N/A,N/A,10000,1,5000.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
470,Neotoma,4845,3786,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.5,-110,N/A,N/A,NORTH_AMERICA,US,Wyoming,N/A,48SW2302,N/A,N/A,10000,1,5000.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
472,Neotoma,4852,3792,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.366667,-108.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Birdshead Cave [48FR54],N/A,N/A,1000,100,550,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
473,Neotoma,4858,3798,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.866667,-107.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Castle Gardens Access Road [48FR1398],N/A,N/A,789,450,619.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
475,Neotoma,4869,3809,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.25,-98.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,McLemore [34GD4],N/A,N/A,939,564,751.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
476,Neotoma,4870,3810,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.75,-97.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Lee [34Gv3],N/A,N/A,950,575,762.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
477,Neotoma,4872,3812,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.25,-95,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Pohly [34MY54],N/A,N/A,1250,450,850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
478,Neotoma,4875,3815,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.616667,-97.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Grant [34Gv2],N/A,N/A,850,350,600,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
479,Neotoma,4876,3816,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.25,-98.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Duncan-Wilson Bluff Shelter [Cd-11],N/A,N/A,1760,1,880.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
480,Neotoma,4877,3817,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.75,-100.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Roy Smith [34BV14],N/A,N/A,750,700,725,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
481,Neotoma,4919,3849,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.25,-98.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Delaware Canyon 34CD257A,N/A,N/A,2000,1000,1500,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
482,Neotoma,4932,3862,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.75,-97,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Bryson-Paddock [34KA5],N/A,N/A,230,200,215,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
483,Neotoma,4934,3864,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.866667,-92.25,N/A,N/A,NORTH_AMERICA,US,Missouri,Boone,Brynjulfson Cave #2,N/A,N/A,2460,1,1230.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
484,Neotoma,4949,3878,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.75,-109.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Cremer [24SW264],N/A,N/A,4500,1500,3000,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
485,Neotoma,4952,3881,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.366667,-98.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Solomon River 14ML15,N/A,N/A,860,860,860,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
488,Neotoma,4976,3898,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.616667,-105.25,N/A,N/A,NORTH_AMERICA,US,Wyoming,N/A,48CA2227,N/A,N/A,10000,1,5000.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
489,Neotoma,4980,3902,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.866667,-107.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Spring Creek Cave [48WA1],N/A,N/A,1725,1725,1725,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
490,Neotoma,4982,3904,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.75,-109.866667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hoffer [24CH669],N/A,N/A,1000,200,600,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
493,Neotoma,4992,3911,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.616667,-100.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Gillette [39ST23],N/A,N/A,400,150,275,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
494,Neotoma,4993,3912,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,-100.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hosterman [39PO7],N/A,N/A,400,275,337.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
495,Neotoma,4995,3914,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.616667,-99.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Spain Site [39LM301],N/A,N/A,400,300,350,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
496,Neotoma,4996,3915,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.348333,-100.196667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Arzberger site [39HU6],N/A,N/A,500,430,465,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
497,Neotoma,4998,3917,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.75,-100.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Pascal Creek [39AR207],N/A,N/A,350,250,300,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
498,Neotoma,5005,3924,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.25,-100.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Indian School [39HU10],N/A,N/A,250,200,225,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
499,Neotoma,5006,3925,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.575,-100.483333,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Lower Grand [Davis] [39CO14],N/A,N/A,650,490,570,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
500,Neotoma,5007,3926,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.577222,-100.496667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Travis I [39CO213],N/A,N/A,780,780,780,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
501,Neotoma,5009,3928,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.75,-100.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Jake White Bull [39CO6],N/A,N/A,985,910,947.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
502,Neotoma,5010,3929,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.458333,-100.459722,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Spotted Bear [39HU26],N/A,N/A,275,170,222.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
503,Neotoma,5011,3930,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.366667,-100.25,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Cottonwood [39HU43],N/A,N/A,250,200,225,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
504,Neotoma,5014,3933,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.65,-100.391667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Anton Rygh [39CA4],N/A,N/A,400,275,337.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
505,Neotoma,5015,3934,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.519444,-100.4125,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Larson [39WW2],N/A,N/A,275,200,237.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
506,Neotoma,5018,3937,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.298611,-99.022222,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Hitchell [39CH45],N/A,N/A,1215,170,692.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
507,Neotoma,5019,3938,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.854722,-99.332222,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Dinehart [39LM33],N/A,N/A,1000,700,850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
508,Neotoma,5021,3940,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.997222,-99.331667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Crow Creek [39BF11],N/A,N/A,900,560,730,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
509,Neotoma,5022,3941,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.0275,-99.369722,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Talking Crow [39Bf3],N/A,N/A,1350,1,675.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
510,Neotoma,5023,3942,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44,-99.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Black Partizan [39LM218],N/A,N/A,550,275,412.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
511,Neotoma,5025,3944,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.257778,-99.946667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Sommers [39ST56],N/A,N/A,975,550,762.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
512,Neotoma,5026,3945,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.280833,-100.028056,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Ft. George V [39ST17],N/A,N/A,220,160,190,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
513,Neotoma,5029,3948,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.485278,-100.568611,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Thomas Riggs [39HU1],N/A,N/A,730,300,515,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
514,Neotoma,5030,3949,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.681389,-100.631667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,H. P. Thomas [39ST12],N/A,N/A,1050,50,550,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
515,Neotoma,5031,3950,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.571944,-100.478056,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Red Horse Hawk [39CO213],N/A,N/A,220,160,190,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
516,Neotoma,5032,3951,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.080556,-99.517778,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Medicine Crow [39Bf2],N/A,N/A,7950,170,4060,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
517,Neotoma,5033,3952,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.190278,-99.596667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Jiggs Thompson [39LM208],N/A,N/A,670,670,670,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
518,Neotoma,5034,3953,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.4125,-100.275,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Walth Bay [39WW203],N/A,N/A,8030,310,4170,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
519,Neotoma,5036,3955,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.377222,-100.22,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Mowry Bluff [25FT35],N/A,N/A,930,770,850,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
520,Neotoma,5037,3956,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.25,-98.5,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Schmidt [25HW301],N/A,N/A,830,795,812.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
521,Neotoma,5038,3957,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.116667,-98.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Shipman [25WT7],N/A,N/A,1000,1,500.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
522,Neotoma,5039,3958,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.383333,-98.756111,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Bill Packer [25SM9],N/A,N/A,970,900,935,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
523,Neotoma,5040,3959,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.366667,-100.116667,N/A,N/A,NORTH_AMERICA,US,Nebraska,Frontier,Lime Creek [25FT41],N/A,N/A,9524,9524,9524,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
524,Neotoma,5047,3966,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.372222,-98.007778,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Brown [25NC8],N/A,N/A,700,500,600,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
525,Neotoma,5048,3967,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.338889,-98.029167,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Cunningham [25NC10],N/A,N/A,700,500,600,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
526,Neotoma,5049,3968,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.486111,-100.315,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Owens [25FT3],N/A,N/A,4000,500,2250,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
527,Neotoma,5050,3969,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.413889,-100.244444,N/A,N/A,NORTH_AMERICA,US,Nebraska,N/A,25FT39,N/A,N/A,750,670,710,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
528,Neotoma,5051,3970,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.413889,-100.219444,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Clarence Allen [25FT30],N/A,N/A,850,650,750,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
529,Neotoma,5052,3971,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.377778,-100.2125,N/A,N/A,NORTH_AMERICA,US,Nebraska,N/A,25FT17,N/A,N/A,865,710,787.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
530,Neotoma,5053,3972,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.377778,-100.2125,N/A,N/A,NORTH_AMERICA,US,Nebraska,N/A,Aiken [25FT16],N/A,N/A,930,715,822.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
531,Neotoma,5054,3973,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.377778,-100.2125,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Compton [25FT13],N/A,N/A,940,510,725,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
532,Neotoma,5055,3974,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.383333,-100.230556,N/A,N/A,NORTH_AMERICA,US,Nebraska,N/A,25FT70,N/A,N/A,1260,500,880,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
533,Neotoma,5056,3975,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.816667,-96.466667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Logan Creek [25BT3],N/A,N/A,8125,6633,7379,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
534,Neotoma,5057,3976,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.366667,-97,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Schuyler [25CX1],N/A,N/A,450,300,375,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
535,Neotoma,5059,3978,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.25,-101.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,White Buffalo Robe [32ME7],N/A,N/A,742,1,371.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
536,Neotoma,5060,3979,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.116667,-101.116667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Upper Sanger [32OL12],N/A,N/A,650,500,575,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
537,Neotoma,5062,3981,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.196389,-100.996389,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Cross Ranch [32OL14],N/A,N/A,590,420,505,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
538,Neotoma,5063,3982,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.95,-103.9,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Mondrian Tree [32MZ58],N/A,N/A,3150,350,1750,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
539,Neotoma,5065,3984,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.25,-101.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Elbee [32ME408],N/A,N/A,560,270,415,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
540,Neotoma,5066,3985,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.25,-101.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Lower Hidatsa [32ME10],N/A,N/A,350,170,260,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
541,Neotoma,5068,3987,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.25,-101.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Youess [32ME415],N/A,N/A,560,380,470,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
542,Neotoma,5070,3989,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.25,-101.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Sakakawea [32ME11],N/A,N/A,160,105,132.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
543,Neotoma,5071,3990,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.5,-101.75,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Like-A-Fishhook [34ML2],N/A,N/A,105,84,94.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
544,Neotoma,5075,3994,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.25,-101,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Ice Glider [32OL110],N/A,N/A,105,95,100,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
545,Neotoma,5077,3996,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.618889,-100.641667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Huff [32MO11],N/A,N/A,600,180,390,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
546,Neotoma,5079,3998,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.5,-100.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Shermer [32EM10],N/A,N/A,450,350,400,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
547,Neotoma,5092,4011,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.412222,-100.590278,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,South Cannonball [32SI19],N/A,N/A,840,510,675,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
548,Neotoma,5093,4012,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,-104,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Ft. Union [32WI17],N/A,N/A,121,83,102,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
549,Neotoma,5094,4013,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,-102.616667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Kipp's Post [32MN1],N/A,N/A,124,120,122,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
550,Neotoma,5095,4014,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.5,-101.366667,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Rock Village [32ME15],N/A,N/A,170,105,137.5,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
551,Neotoma,5096,4015,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.5,-102,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Night Walker's Butte [32ML39],N/A,N/A,250,170,210,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
552,Neotoma,5097,4016,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.504167,-100.583333,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Bendish [32MO2],N/A,N/A,1000,620,810,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
553,Neotoma,5100,4019,N/A,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.158333,-100.970278,N/A,N/A,NORTH_AMERICA,N/A,N/A,N/A,Pretty Point [32OL8],N/A,N/A,550,500,525,N/A,Neotoma,N/A,N/A,N/A,N/A,N/A,N/A,N/A
